IDMunicipio,NomeMunicipio,SiglaUF
1283,Cravol?ndia,BA
3071,Cra?bas,AL
403,Crici?ma,SC
1597,Crissiumal,RS
3731,Cristais,MG
1598,Cristal,RS
1765,Cristal do Sul,RS
2142,Cristalina,GO
2330,Cristal?ndia do Piau?,PI
3717,Cristiano Otoni,MG
3344,Cristina,MG
2306,Cristino Castro,PI
3182,Cristin?polis,SE
3454,Crist?lia,MG
1068,Crist?polis,BA
1218,Cris?polis,BA
2062,Crix?s,GO
2411,Croat?,CE
2168,Crom?nia,GO
3200,Crucil?ndia,MG
2404,Cruz,CE
1599,Cruz Alta,RS
1235,Cruz das Almas,BA
2861,Cruz do Esp?rito Santo,PB
324,Cruz Machado,PR
1564,Cruzaltense,RS
1461,Cruzeiro,SP
155,Cruzeiro do Oeste,PR
647,Cruzeiro do Sul,AC
2024,Cuiab?,MT
2826,Cuitegi,PB
2800,Cuit?,PB
2857,Cuit? de Mamanguape,PB
615,Cujubim,RO
2952,Cumaru,PE
3141,Cumbe,SE
1457,Cunha,SP
510,Cunha Por?,SC
495,Cunhata?,SC
3748,Cuparaque,MG
2978,Cupira,PE
1079,Cura??,BA
2332,Curimat?,PI
453,Curitibanos,SC
210,Curi?va,PR
2305,Currais,PI
2641,Currais Novos,RN
2856,Curral de Cima,PB
3689,Curral de Dentro,MG
708,Curralinho,PA
2241,Curralinhos,PI
882,Cururupu,MA
696,Curu?,PA
727,Curu??,PA
3590,Curvelo,MG
2030,Curvel?ndia,MT
2906,Cust?dia,PE
2029,C?ceres,MT
1190,C?cero Dantas,BA
182,C?ndido de Abreu,PR
1569,C?ndido God?i,RS
928,C?ndido Mendes,MA
3790,C?ndido Mota,SP
1346,C?ndido Sales,BA
3369,C?nego Marinho,MG
2109,C?rrego do Ouro,GO
3572,C?ssia,MG
254,C?u Azul,PR
2799,Dami?o,PB
3259,Datas,MG
1602,David Canabarro,RS
957,Davin?polis,MA
3345,Delfim Moreira,MG
3523,Delfin?polis,MG
3039,Delmiro Gouveia,AL
2236,Demerval Lob?o,PI
2007,Denise,MT
1925,Deod?polis,MS
2508,Deputado Irapuan Pinheiro,CE
1840,Derrubadas,RS
521,Descanso,SC
2757,Desterro,PB
3712,Desterro de Entre Rios,MG
3220,Desterro do Melo,MG
1603,Dezesseis de Novembro,RS
2750,Diamante,PB
377,Diamante D'Oeste,PR
374,Diamante do Norte,PR
248,Diamante do Sul,PR
3249,Diamantina,MG
1972,Diamantino,MT
854,Dian?polis,TO
1779,Dilermando de Aguiar,RS
507,Dion?sio Cerqueira,SC
2072,Diorama,GO
2320,Dirceu Arcoverde,PI
3165,Divina Pastora,SE
3482,Divino,MG
3309,Divino das Laranjeiras,MG
52,Divino de S?o Louren?o,ES
3867,Divinol?ndia,SP
3310,Divinol?ndia de Minas,MG
3297,Divin?polis,MG
2129,Divin?polis de Goi?s,GO
3690,Divis?polis,MG
1620,Dois Irm?os das Miss?es,RS
1887,Dois Irm?os do Buriti,MS
1605,Dois Lajeados,RS
3043,Dois Riachos,AL
269,Dois Vizinhos,PR
2038,Dom Aquino,MT
1304,Dom Bas?lio,BA
3515,Dom Bosco,MG
783,Dom Eliseu,PA
2337,Dom Expedito Lopes,PI
1606,Dom Feliciano,RS
1236,Dom Macedo Costa,BA
1477,Dom Pedrito,RS
995,Dom Pedro,MA
1848,Dom Pedro de Alc?ntara,RS
3651,Dom Vi?oso,MG
34,Domingos Martins,ES
2255,Domingos Mour?o,PI
443,Dona Emma,SC
1607,Dona Francisca,RS
2808,Dona In?s,PB
3566,Dores de Campos,MG
3311,Dores de Guanh?es,MG
53,Dores do Rio Preto,ES
3682,Dores do Turvo,MG
2913,Dormentes,PE
156,Douradina,PR
1914,Dourados,MS
2589,Doutor Severiano,RN
335,Doutor Ulysses,PR
2155,Doverl?ndia,GO
3786,Dracena,SP
99,Duas Barras,RJ
2828,Duas Estradas,PB
1022,Duque Bacelar,MA
136,Duque de Caxias,RJ
3419,Durand?,MG
1347,D?rio Meira,BA
3,Ecoporanga,ES
1926,Eldorado,MS
787,Eldorado do Caraj?s,PA
1484,Eldorado do Sul,RS
2275,Elesb?o Veloso,PI
2398,Eliseu Martins,PI
3652,El?i Mendes,MG
1157,El?sio Medrado,BA
2744,Emas,PB
1450,Embu-Gua?u,SP
1609,Encantado,RS
2590,Encanto,RN
1352,Encruzilhada,BA
1610,Encruzilhada do Sul,RS
3424,Engenheiro Navarro,MG
123,Engenheiro Paulo de Frontin,RJ
1594,Engenho Velho,RS
3225,Entre Folhas,MG
562,Entre Rios,SC
3713,Entre Rios de Minas,MG
1612,Entre Rios do Sul,RS
1611,Entre-Iju?s,RS
270,En?as Marques,PR
662,Epitaciol?ndia,AC
1613,Erebango,RS
1614,Erechim,RS
2531,Erer?,CE
529,Ermo,SC
1616,Ernestina,RS
1619,Erval Grande,RS
1621,Erval Seco,RS
3676,Erv?lia,MG
3010,Escada,PE
3194,Esmeraldas,MG
3484,Espera Feliz,MG
860,Esperantina,TO
967,Esperantin?polis,MA
2813,Esperan?a,PB
1858,Esperan?a do Sul,RS
304,Espig?o Alto do Igua?u,PR
3425,Espinosa,MG
1623,Espumoso,RS
2691,Esp?rito Santo,RN
3346,Esp?rito Santo do Dourado,MG
3772,Esp?rito Santo do Pinhal,SP
3347,Estiva,MG
1039,Estreito,MA
1626,Estrela,RS
3060,Estrela de Alagoas,AL
3728,Estrela do Sul,MG
1515,Estrela Velha,RS
3188,Est?ncia,SE
1625,Est?ncia Velha,RS
1180,Euclides da Cunha,BA
3788,Euclides da Cunha Paulista,SP
3742,Eugen?polis,MG
1627,Eug?nio de Castro,RS
1389,Eun?polis,BA
3359,Extrema,MG
2688,Extremoz,RN
2880,Exu,PE
2834,Fagundes,PB
2068,Faina,GO
3653,Fama,MG
3485,Faria Lemos,MG
2553,Farias Brito,CE
1475,Farroupilha,RS
2321,Fartura do Piau?,PI
181,Faxinal,PR
1629,Faxinal do Soturno,RS
561,Faxinal dos Guedes,SC
1630,Faxinalzinho,RS
2110,Fazenda Nova,GO
346,Fazenda Rio Grande,PR
1544,Fazenda Vilanova,RS
652,Feij?,AC
1099,Feira da Mata,BA
1158,Feira de Santana,BA
3072,Feira Grande,AL
2953,Feira Nova,PE
1043,Feira Nova do Maranh?o,MA
2574,Felipe Guerra,RN
3693,Felisburgo,MG
3580,Felixl?ndia,MG
1632,Feliz,RS
3123,Feliz Deserto,AL
1986,Feliz Natal,MT
319,Fernandes Pinheiro,PR
987,Fernando Falc?o,MA
1421,Ferraz de Vasconcelos,SP
2988,Ferreiros,PE
3498,Ferros,MG
3481,Fervedouro,MG
211,Figueira,PR
2010,Figueir?polis D'Oeste,MT
831,Filad?lfia,TO
1371,Firmino Alves,BA
2115,Firmin?polis,GO
3092,Flexeiras,AL
271,Flor da Serra do Sul,PR
2894,Flores,PE
1634,Flores da Cunha,RS
2128,Flores de Goi?s,GO
2297,Flores do Piau?,PI
2920,Floresta,PE
1372,Floresta Azul,BA
797,Floresta do Araguaia,PA
2381,Floresta do Piau?,PI
3267,Florestal,MG
2298,Floriano,PI
1644,Floriano Peixoto,RS
380,Florian?polis,SC
2629,Flor?nia,RN
1636,Fontoura Xavier,RS
3527,Formiga,MG
1637,Formigueiro,RS
2143,Formosa,GO
991,Formosa da Serra Negra,MA
235,Formosa do Oeste,PR
1062,Formosa do Rio Preto,BA
2075,Formoso,GO
2426,Forquilha,CE
404,Forquilhinha,SC
1045,Fortaleza dos Nogueiras,MA
1638,Fortaleza dos Valos,RS
2515,Fortim,CE
996,Fortuna,MA
255,Foz do Igua?u,PR
537,Fraiburgo,SC
2276,Francin?polis,PI
157,Francisco Alves,PR
2266,Francisco Ayres,PI
3250,Francisco Badar?,MG
272,Francisco Beltr?o,PR
2596,Francisco Dantas,RN
3456,Francisco Dumont,MG
2375,Francisco Macedo,PI
2355,Francisco Santos,PI
3426,Francisco S?,MG
3619,Francisc?polis,MG
1448,Franco da Rocha,SP
2419,Frecheirinha,CE
1639,Frederico Westphalen,RS
3614,Frei Gaspar,MG
3312,Frei Inoc?ncio,MG
3328,Frei Lagonegro,MG
2769,Frei Martinho,PB
2942,Frei Miguelinho,PE
3136,Frei Paulo,SE
3628,Fronteira,MG
3599,Fronteira dos Vales,MG
2364,Fronteiras,PI
3471,Fruta de Leite,MG
3629,Frutal,MG
2609,Frutuoso Gomes,RN
3581,Funil?ndia,MG
1192,F?tima,BA
1915,F?tima do Sul,MS
2848,Gado Bravo,PB
3313,Galil?ia,MG
2617,Galinhos,RN
3011,Gameleira,PE
2177,Gameleira de Goi?s,GO
3430,Gameleiras,MG
1373,Gandu,BA
2965,Garanhuns,PE
3128,Gararu,SE
1640,Garibaldi,RS
583,Garopaba,SC
803,Garraf?o do Norte,PA
1789,Garruchos,RS
422,Garuva,SC
3905,Gar?a,SP
415,Gaspar,SC
1641,Gaurama,RS
1989,Ga?cha do Norte,MT
2343,Geminiano,PI
325,General Carneiro,PR
1642,General C?mara,RS
3172,General Maynard,SE
2455,General Sampaio,CE
1467,Gentil,RS
1116,Gentio do Ouro,BA
1645,Get?lio Vargas,RS
2307,Gilbu?s,PI
3073,Girau do Ponciano,AL
1646,Giru?,RS
3429,Glaucil?ndia,MG
1649,Glorinha,RS
1087,Gl?ria,BA
2011,Gl?ria D'Oeste,MT
1927,Gl?ria de Dourados,MS
3000,Gl?ria do Goit?,PE
931,Godofredo Viana,MA
2989,Goiana,PE
2692,Goianinha,RN
2096,Goian?sia,GO
784,Goian?sia do Par?,PA
848,Goiatins,TO
2169,Goiatuba,GO
294,Goioxim,PR
2121,Goi?nia,GO
2069,Goi?s,GO
1407,Gongogi,BA
997,Gon?alves Dias,MA
3251,Gouveia,MG
2575,Governador Dix-Sept Rosado,RN
958,Governador Edison Lob?o,MA
998,Governador Eug?nio Barros,MA
623,Governador Jorge Teixeira,RO
14,Governador Lindenberg,ES
1004,Governador Luiz Rocha,MA
1237,Governador Mangabeira,BA
950,Governador Newton Bello,MA
926,Governador Nunes Freire,MA
3331,Governador Valadares,MG
3129,Graccho Cardoso,SE
992,Graja?,MA
1495,Gramado,RS
1714,Gramado dos Loureiros,RS
1533,Gramado Xavier,RS
184,Grandes Rios,PR
2881,Granito,PE
2405,Granja,CE
2554,Granjeiro,CE
402,Gravatal,SC
1651,Gravata?,RS
2933,Gravat?,PE
2427,Gra?a,CE
1000,Gra?a Aranha,MA
2428,Groa?ras,CE
2571,Grossos,RN
3457,Gr?o Mogol,MG
397,Gr?o Par?,SC
552,Guabiruba,SC
2397,Guadalupe,PI
2480,Guai?ba,CE
1329,Guajeru,BA
2618,Guamar?,RN
313,Guamiranga,PR
1310,Guanambi,BA
3314,Guanh?es,MG
3807,Guapiara,SP
138,Guapimirim,RJ
3654,Guap?,MG
2829,Guarabira,PB
3930,Guaraci,SP
522,Guaraciaba,SC
2412,Guaraciaba do Norte,CE
3443,Guaraciama,MG
2468,Guaramiranga,CE
577,Guaramirim,SC
1654,Guarani das Miss?es,RS
2130,Guarani de Goi?s,GO
249,Guarania?u,PR
1963,Guarant? do Norte,MT
3574,Guaran?sia,MG
47,Guarapari,ES
296,Guarapuava,PR
355,Guaraque?aba,PR
1428,Guararema,SP
1390,Guaratinga,BA
1438,Guaratinguet?,SP
356,Guaratuba,PR
3899,Guara?a?,SP
3516,Guarda-Mor,MG
3883,Guare?,SP
2318,Guaribas,PI
2097,Guarinos,GO
512,Guaruj? do Sul,SC
487,Guatamb?,SC
3872,Guatapar?,SP
3754,Guaxup?,MG
1470,Gua?ba,RS
236,Gua?ra,PR
54,Gua?u?,ES
883,Guimar?es,MA
3725,Guimar?nia,MG
2034,Guiratinga,MT
3677,Guiricema,MG
3719,Gurinhat?,MG
2839,Gurinh?m,PB
2795,Gurj?o,PB
1655,Harmonia,RS
3668,Heliodora,MG
1193,Heli?polis,BA
1617,Herval,RS
468,Herval d'Oeste,SC
1777,Herveiras,RS
2122,Hidrol?ndia,GO
3827,Holambra,SP
309,Hon?rio Serpa,PR
2485,Horizonte,CE
1523,Hulha Negra,RS
1656,Humait?,RS
900,Humberto de Campos,MA
2131,Iaciara,GO
3238,Iapu,MG
3923,Iaras,SP
2966,Iati,PE
1145,Ia?u,BA
212,Ibaiti,PR
1657,Ibarama,RS
3082,Ibateguara,AL
55,Ibatiba,ES
2413,Ibiapina,CE
2751,Ibiara,PB
1311,Ibiassuc?,BA
3458,Ibia?,MG
1374,Ibicara?,BA
1270,Ibicoara,BA
2519,Ibicuitinga,CE
2907,Ibimirim,PE
1117,Ibipeba,BA
1259,Ibipitanga,BA
3384,Ibiracatu,MG
3577,Ibiraci,MG
1659,Ibiraiaras,RS
2979,Ibirajuba,PE
1375,Ibirapitanga,BA
1660,Ibirapuit?,RS
1391,Ibirapu?,BA
26,Ibira?u,ES
1662,Ibirub?,RS
1260,Ibitiara,BA
3885,Ibitinga,SP
56,Ibitirama,ES
1118,Ibitit?,BA
3634,Ibi?,MG
3768,Ibi?na,SP
1093,Ibotirama,BA
2516,Icapu?,CE
3376,Icara? de Minas,MG
891,Icatu,MA
1205,Ichu,BA
48,Iconha,ES
2535,Ic?,CE
2661,Ielmo Marinho,RN
3061,Igaci,AL
1312,Igapor?,BA
2742,Igaracy,PB
3776,Igarapava,SP
917,Igarap? do Meio,MA
969,Igarap? Grande,MA
741,Igarap?-A?u,PA
751,Igarap?-Miri,PA
3023,Igarassu,PE
1451,Igarat?,SP
1361,Igrapi?na,BA
3124,Igreja Nova,AL
1663,Igrejinha,RS
111,Iguaba Grande,RJ
3824,Iguape,SP
2895,Iguaracy,PE
3275,Iguatama,MG
1928,Iguatemi,MS
2536,Iguatu,CE
1348,Igua?,BA
1664,Iju?,RS
3159,Ilha das Flores,SE
3025,Ilha de Itamarac?,PE
2228,Ilha Grande,PI
1456,Ilhabela,SP
524,Ilhota,SC
1376,Ilh?us,BA
1666,Il?polis,RS
2758,Imaculada,PB
582,Imaru?,SC
223,Imba?,PR
580,Imbituba,SC
314,Imbituva,PR
589,Imbuia,SC
1882,Imb?,RS
3227,Imb? de Minas,MG
1667,Imigrante,RS
955,Imperatriz,MA
2908,Inaj?,PE
3436,Indaiabira,MG
416,Indaial,SC
1669,Independ?ncia,RS
3908,Indiana,SP
3641,Indian?polis,MG
2162,Indiara,GO
3189,Indiaroba,SE
2896,Ingazeira,PE
2840,Ing?,PB
1588,Inhacor?,RS
1219,Inhambupe,BA
724,Inhangapi,PA
3036,Inhapi,AL
3233,Inhapim,MG
3582,Inha?ma,MG
2277,Inhuma,PI
2106,Inhumas,GO
3591,Inimutaba,MG
1897,Inoc?ncia,MS
298,In?cio Martins,PR
3228,Ipaba,MG
2180,Ipameri,GO
3240,Ipanema,MG
2584,Ipangua?u,RN
2489,Ipaporanga,CE
1159,Ipecaet?,BA
3922,Iper?,SP
1377,Ipia?,BA
593,Ipira,SC
316,Ipiranga,PR
2095,Ipiranga de Goi?s,GO
2338,Ipiranga do Piau?,PI
1160,Ipir?,BA
761,Ipixuna do Par?,PA
3034,Ipojuca,PE
3897,Iporanga,SP
2111,Ipor?,GO
514,Ipor? do Oeste,SC
2436,Ipu,CE
559,Ipua?u,SC
2882,Ipubi,PE
2437,Ipueiras,CE
479,Ipumirim,SC
1261,Ipupiara,BA
1670,Ip?,RS
691,Iracema,RR
509,Iraceminha,SC
1284,Irajuba,BA
1285,Iramaia,BA
670,Iranduba,AM
1119,Iraquara,BA
1161,Irar?,BA
315,Irati,PR
2429,Irau?uba,CE
1671,Ira?,RS
3722,Ira? de Minas,MG
1120,Irec?,BA
171,Iretama,PR
575,Irine?polis,SC
762,Irituia,PA
57,Irupi,ES
2365,Isa?as Coelho,PI
1883,Itaara,RS
2842,Itabaiana,PB
3183,Itabaianinha,SE
1408,Itabela,BA
2107,Itabera?,GO
3767,Itaber?,SP
3130,Itabi,SE
3499,Itabira,MG
3315,Itabirinha,MG
3510,Itabirito,MG
139,Itabora?,RJ
1378,Itabuna,BA
849,Itacaj?,TO
3428,Itacambira,MG
3367,Itacarambi,MG
676,Itacoatiara,AM
2921,Itacuruba,PE
1673,Itacurubi,RS
1271,Itaet?,BA
1286,Itagi,BA
1379,Itagib?,BA
3276,Itaguara,MG
817,Itaguatins,TO
133,Itagua?,RJ
38,Itagua?u,ES
1094,Itagua?u da Bahia,BA
2366,Itain?polis,PI
990,Itaipava do Graja?,MA
256,Itaipul?ndia,PR
3616,Itaip?,MG
2481,Itaitinga,CE
770,Itaituba,PA
2517,Itai?aba,CE
462,Itai?polis,SC
523,Itaja?,SC
3348,Itajub?,MG
2185,Itaj?,GO
74,Italva,RJ
1392,Itamaraju,BA
3261,Itamarandiba,MG
3493,Itamarati de Minas,MG
1380,Itamari,BA
3617,Itambacuri,MG
200,Itambarac?,PR
1402,Itamb?,BA
3503,Itamb? do Mato Dentro,MG
3669,Itamonte,MG
1227,Itanagra,BA
3655,Itanhandu,MG
1979,Itanhang?,MT
3817,Itanha?m,SP
1393,Itanh?m,BA
3600,Itaobim,MG
82,Itaocara,RJ
2098,Itapaci,GO
3630,Itapagipe,MG
2450,Itapaj?,CE
3758,Itapecerica,MG
922,Itapecuru Mirim,MA
285,Itapejara d'Oeste,PR
528,Itapema,SC
71,Itapemirim,ES
75,Itaperuna,RJ
347,Itaperu?u,PR
2897,Itapetim,PE
3766,Itapetininga,SP
3360,Itapeva,MG
1194,Itapicuru,BA
2445,Itapipoca,CE
3873,Itapira,SP
504,Itapiranga,SC
2070,Itapirapu?,GO
3868,Itapirapu? Paulista,SP
850,Itapiratins,TO
3026,Itapissuma,PE
1381,Itapitanga,BA
2469,Itapi?na,CE
2752,Itaporanga,PB
3190,Itaporanga d'Ajuda,SE
2852,Itapororoca,PB
1916,Itapor?,MS
423,Itapo?,SC
1518,Itapuca,RS
2099,Itapuranga,GO
610,Itapu? do Oeste,RO
1287,Itaquara,BA
1674,Itaqui,RS
1929,Itaquira?,MS
39,Itarana,ES
1353,Itarantim,BA
3812,Itarar?,SP
2406,Itarema,CE
3825,Itariri,SP
2186,Itarum?,GO
1844,Itati,RS
114,Itatiaia,RJ
3298,Itatiaiu?u,MG
1431,Itatiba,SP
1676,Itatiba do Sul,RS
1162,Itatim,BA
3838,Itatinga,SP
2461,Itatira,CE
2843,Itatuba,PB
807,Itaubal,AP
2299,Itaueira,PI
2196,Itau?u,GO
2597,Ita?,RN
1982,Ita?ba,MT
3806,Ita?ca,SP
3299,Ita?na,MG
3601,Itinga,MG
953,Itinga do Maranh?o,MA
2039,Itiquira,MT
1288,Itiru?u,BA
1105,Iti?ba,BA
1354,Itoror?,BA
1419,Itu,SP
1330,Itua?u,BA
1362,Ituber?,BA
3317,Itueta,MG
3720,Ituiutaba,MG
2170,Itumbiara,GO
3561,Itumirim,MG
1430,Itupeva,SP
779,Itupiranga,PA
584,Ituporanga,SC
3744,Iturama,MG
483,It?,SC
1313,Iui?,BA
186,Ivaipor?,PR
317,Iva?,PR
1930,Ivinhema,MS
2112,Ivol?ndia,GO
1677,Ivor?,RS
1680,Ivoti,RS
406,I?ara,SC
58,I?na,ES
3029,Jaboat?o dos Guararapes,PE
1403,Jaborandi,BA
1681,Jaboticaba,RS
3808,Jaboticabal,SP
3195,Jaboticatubas,MG
1314,Jacaraci,BA
2853,Jacara?,PB
206,Jacarezinho,PR
1417,Jacare?,SP
3053,Jacar? dos Homens,AL
2040,Jaciara,MT
3686,Jacinto,MG
541,Jacinto Machado,SC
1131,Jacobina,BA
2368,Jacobina do Piau?,PI
1624,Jacuizinho,RS
773,Jacund?,PA
3932,Jacupiranga,SP
1683,Jacutinga,RS
3093,Jacu?pe,AL
1289,Jaguaquara,BA
1106,Jaguarari,BA
3708,Jaguara?u,MG
2528,Jaguaretama,CE
1686,Jaguari,RS
227,Jaguaria?va,PR
2529,Jaguaribara,CE
2530,Jaguaribe,CE
1238,Jaguaripe,BA
3820,Jaguari?na,SP
2520,Jaguaruana,CE
400,Jaguaruna,SC
22,Jaguar?,ES
1685,Jaguar?o,RS
2369,Jaic?s,PI
3934,Jales,SP
3459,Jana?ba,MG
1224,Janda?ra,BA
2698,Jandu?s,RN
2021,Jangada,MT
164,Jani?polis,PR
3366,Janu?ria,MG
2662,Janu?rio Cicco,RN
3104,Japaratinga,AL
3168,Japaratuba,SE
3277,Japara?ba,MG
142,Japeri,RJ
376,Japira,PR
3169,Japoat?,SE
3448,Japonvar,MG
1931,Japor?,MS
3013,Jaqueira,PE
1687,Jaquirana,RS
1894,Jaraguari,MS
2108,Jaragu?,GO
576,Jaragu? do Sul,SC
3054,Jaramataia,AL
1909,Jardim,MS
188,Jardim Alegre,PR
2625,Jardim de Angicos,RN
2636,Jardim de Piranhas,RN
2267,Jardim do Mulato,PI
2642,Jardim do Serid?,RN
1863,Jari,RS
1435,Jarinu,SP
617,Jaru,RO
2156,Jata?,GO
2934,Jata?ba,PE
1932,Jate?,MS
2565,Jati,CE
1030,Jatob?,MA
2246,Jatob? do Piau?,PI
2012,Jauru,MT
3780,Ja?,SP
842,Ja? do Tocantins,TO
2652,Ja?an?,RN
3372,Ja?ba,MG
3714,Jeceaba,MG
3260,Jenipapo de Minas,MG
989,Jenipapo dos Vieiras,MA
3549,Jequeri,MG
3583,Jequitib?,MG
3687,Jequitinhonha,MG
1290,Jequi?,BA
3118,Jequi? da Praia,AL
1174,Jeremoabo,BA
2706,Jeric?,PB
2300,Jerumenha,PI
65,Jer?nimo Monteiro,ES
3670,Jesu?nia,MG
618,Ji-Paran?,RO
2407,Jijoca de Jericoacoara,CE
1291,Jiquiri??,BA
3704,Joan?sia,MG
3094,Joaquim Gomes,AL
3012,Joaquim Nabuco,PE
2209,Joaquim Pires,PI
215,Joaquim T?vora,PR
465,Joa?aba,SC
3695,Joa?ma,MG
2719,Joca Claudino,PB
2210,Joca Marques,PI
421,Joinville,SC
3696,Jord?nia,MG
3740,Josen?polis,MG
433,Jos? Boiteux,SC
3926,Jos? Bonif?cio,SP
2598,Jos? da Penha,RN
2237,Jos? de Freitas,PI
3242,Jos? Gon?alves de Minas,MG
3324,Jos? Raydan,MG
2954,Jo?o Alfredo,PE
2385,Jo?o Costa,PI
2646,Jo?o C?mara,RN
2610,Jo?o Dias,RN
1121,Jo?o Dourado,BA
959,Jo?o Lisboa,MA
27,Jo?o Neiva,ES
3513,Jo?o Pinheiro,MG
1973,Juara,MT
2844,Juarez T?vora,PB
2770,Juazeirinho,PB
1080,Juazeiro,BA
2559,Juazeiro do Norte,CE
2253,Juazeiro do Piau?,PI
2967,Jucati,PE
2585,Jucurutu,RN
2540,Juc?s,CE
3399,Juiz de Fora,MG
934,Junco do Maranh?o,MA
2765,Junco do Serid?,PB
1425,Jundia?,SP
207,Jundia? do Sul,PR
2675,Jundi?,RN
3119,Junqueiro,AL
2968,Jupi,PE
1458,Juquitiba,SP
3803,Juqui?,SP
3460,Juramento,MG
165,Juranda,PR
2312,Jurema,PI
2862,Juripiranga,PB
2759,Juru,PB
3753,Juruaia,MG
1955,Juruena,MT
693,Juruti,PA
2041,Juscimeira,MT
1122,Jussara,BA
1272,Jussiape,BA
1945,Juti,MS
3381,Juven?lia,MG
1954,Ju?na,MT
1688,J?ia,RS
2331,J?lio Borges,PI
1690,J?lio de Castilhos,RS
368,Kalor?,PR
3618,Ladainha,MG
1292,Lafaiete Coutinho,BA
3528,Lagamar,MG
3153,Lagarto,SE
444,Lages,SC
940,Lago da Pedra,MA
972,Lago do Junco,MA
971,Lago dos Rodrigues,MA
973,Lago Verde,MA
2707,Lagoa,PB
2239,Lagoa Alegre,PI
1829,Lagoa Bonita do Sul,RS
2663,Lagoa d'Anta,RN
3074,Lagoa da Canoa,AL
2830,Lagoa de Dentro,PB
2991,Lagoa de Itaenga,PE
2664,Lagoa de Pedras,RN
2216,Lagoa de S?o Francisco,PI
2653,Lagoa de Velhos,RN
2990,Lagoa do Carro,PE
1027,Lagoa do Mato,MA
2969,Lagoa do Ouro,PE
2233,Lagoa do Piau?,PI
2281,Lagoa do S?tio,PI
2980,Lagoa dos Gatos,PE
3755,Lagoa dos Patos,MG
1712,Lagoa dos Tr?s Cantos,RS
3562,Lagoa Dourada,MG
2917,Lagoa Grande,PE
1057,Lagoa Grande do Maranh?o,MA
2631,Lagoa Nova,RN
1315,Lagoa Real,BA
2665,Lagoa Salgada,RN
2835,Lagoa Seca,PB
1692,Lagoa Vermelha,RS
2261,Lagoinha do Piau?,PI
1694,Lago?o,RS
473,Laguna,SC
1917,Laguna Carap?,MS
1293,Laje,BA
845,Lajeado,TO
1729,Lajeado do Bugre,RS
963,Lajeado Novo,MA
1146,Lajedinho,BA
2970,Lajedo,PE
1294,Lajedo do Tabocal,BA
2626,Lajes,RN
2654,Lajes Pintadas,RN
3405,Lajinha,MG
1410,Lamar?o,BA
3656,Lambari,MG
2013,Lambari D'Oeste,MT
2291,Landri Sales,PI
336,Lapa,PR
1123,Lap?o,BA
36,Laranja da Terra,ES
288,Laranjal,PR
3839,Laranjal Paulista,SP
3173,Laranjeiras,SE
299,Laranjeiras do Sul,PR
3461,Lassance,MG
2723,Lastro,PB
412,Lauro Muller,SC
3732,Lavras,MG
2544,Lavras da Mangabeira,CE
3278,Leandro Ferreira,MG
538,Lebon R?gis,SC
3810,Leme,SP
3253,Leme do Prado,MG
1273,Len??is,BA
588,Leoberto Leal,SC
3486,Leopoldina,MG
2123,Leopoldo de Bulh?es,GO
201,Le?polis,PR
1698,Liberato Salzano,RS
1316,Lic?nio de Almeida,BA
189,Lidian?polis,PR
974,Lima Campos,MA
3390,Lima Duarte,MG
3853,Limeira,SP
3635,Limeira do Oeste,MG
2955,Limoeiro,PE
3075,Limoeiro de Anadia,AL
752,Limoeiro do Ajuru,PA
2521,Limoeiro do Norte,CE
250,Lindoeste,PR
1679,Lindolfo Collor,RS
475,Lind?ia do Sul,SC
28,Linhares,ES
3916,Lins,SP
1305,Livramento de Nossa Senhora,BA
2825,Logradouro,PB
180,Londrina,PR
3474,Lontra,MG
438,Lontras,SC
1459,Lorena,SP
3847,Louveira,SP
1975,Lucas do Rio Verde,MT
2871,Lucena,PB
1991,Luciara,MT
2611,Lucr?cia,RN
3416,Luisburgo,MG
3751,Luisl?ndia,MG
530,Luiz Alves,SC
172,Luiziana,PR
190,Lunardelli,PR
3279,Luz,MG
2211,Luzil?ndia,PI
827,Luzin?polis,TO
2144,Luzi?nia,GO
2226,Lu?s Correia,PI
1060,Lu?s Eduardo Magalh?es,BA
2592,Lu?s Gomes,RN
1147,Macajuba,BA
3147,Macambira,SE
2992,Macaparana,PE
808,Macap?,AP
1355,Macarani,BA
2619,Macau,RN
90,Maca?,RJ
2685,Maca?ba,RN
1262,Maca?bas,BA
3109,Macei?,AL
1699,Machadinho,RS
614,Machadinho D'Oeste,RO
3643,Machado,MG
2956,Machados,PE
533,Macieira,SC
1088,Macurur?,BA
2498,Madalena,CE
2212,Madeiro,PI
3211,Madre de Deus de Minas,MG
1331,Maetinga,BA
460,Mafra,SC
729,Magalh?es Barata,PA
1007,Magalh?es de Almeida,MA
137,Mag?,RJ
1356,Maiquinique,BA
1148,Mairi,BA
1443,Mairinque,SP
1424,Mairipor?,SP
557,Major Gercino,SC
3055,Major Isidoro,AL
2591,Major Sales,RN
573,Major Vieira,SC
3602,Malacacheta,MG
1317,Malhada,BA
1332,Malhada de Pedras,BA
3142,Malhada dos Bois,SE
3148,Malhador,SE
2724,Malta,PB
2855,Mamanguape,PB
2132,Mamba?,GO
3455,Mamonas,MG
1850,Mampituba,RS
671,Manacapuru,AM
672,Manaquiri,AM
2909,Manari,PE
673,Manaus,AM
2760,Mana?ra,PB
174,Mandagua?u,PR
348,Mandirituba,PR
3882,Manduri,SP
277,Manfrin?polis,PR
