IDMunicipio,NomeMunicipio,SiglaUF
187,Ariranha do Iva?,PR
395,Armaz?m,SC
2502,Arneiroz,CE
2274,Aroazes,PI
2847,Aroeiras,PB
2344,Aroeiras do Itaim,PI
1510,Arroio do Meio,RS
1745,Arroio do Padre,RS
1513,Arroio do Sal,RS
1514,Arroio do Tigre,RS
1512,Arroio dos Ratos,RS
1516,Arroio Grande,RS
2195,Aruan?,GO
1455,Aruj?,SP
481,Arvoredo,SC
1517,Arvorezinha,RS
2689,Ar?s,RN
2547,Assar?,CE
194,Assa?,PR
234,Assis Chateaubriand,PR
2771,Assun??o,PB
2258,Assun??o do Piau?,PI
3087,Atalaia,AL
586,Atalanta,SC
3597,Atal?ia,MG
1415,Atibaia,SP
61,Atilio Vivacqua,ES
814,Augustin?polis,TO
737,Augusto Corr?a,PA
1519,Augusto Pestana,RS
2576,Augusto Severo,RN
1368,Aurelino Leal,BA
429,Aurora,SC
759,Aurora do Par?,PA
667,Autazes,AM
3815,Avar?,SP
3823,Ava?,SP
2327,Avelino Lopes,PI
890,Axix?,MA
815,Axix? do Tocantins,TO
952,A?ail?ndia,MA
2580,A?u,RN
3304,A?ucena,MG
964,Bacabal,MA
895,Bacabeira,MA
875,Bacuri,MA
877,Bacurituba,MA
3646,Baependi,MG
1524,Bag?,RS
1058,Baian?polis,BA
1143,Baixa Grande,BA
2284,Baixa Grande do Ribeiro,PI
2543,Baixio,CE
12,Baixo Guandu,ES
3578,Baldim,MG
2071,Baliza,GO
425,Balne?rio Barra do Sul,SC
546,Balne?rio Gaivota,SC
531,Balne?rio Pi?arras,SC
407,Balne?rio Rinc?o,SC
340,Balsa Nova,PR
1042,Balsas,MA
3266,Bambu?,MG
2495,Banabui?,CE
1463,Bananal,SP
2820,Bananeiras,PB
3692,Bandeira,MG
503,Bandeirante,SC
198,Bandeirantes,PR
829,Bandeirantes do Tocantins,TO
1189,Banza?,BA
2569,Bara?na,RN
3218,Barbacena,MG
2557,Barbalha,CE
169,Barbosa Ferraz,PR
716,Barcarena,PA
2649,Barcelona,RN
1091,Barra,BA
501,Barra Bonita,SC
2278,Barra D'Alc?ntara,PI
1268,Barra da Estiva,BA
2976,Barra de Guabiraba,PE
2798,Barra de Santa Rosa,PB
2790,Barra de Santana,PB
3102,Barra de Santo Ant?nio,AL
2,Barra de S?o Francisco,ES
2788,Barra de S?o Miguel,PB
2005,Barra do Bugres,MT
3805,Barra do Chap?u,SP
1340,Barra do Cho?a,BA
988,Barra do Corda,MA
2000,Barra do Gar?as,MT
1842,Barra do Guarita,RS
1111,Barra do Mendes,BA
1879,Barra do Quara?,RS
1468,Barra do Ribeiro,RS
1509,Barra do Rio Azul,RS
3902,Barra do Turvo,SP
3177,Barra dos Coqueiros,SE
3545,Barra Longa,MG
113,Barra Mansa,RJ
427,Barra Velha,SC
267,Barrac?o,PR
2202,Barras,PI
2473,Barreira,CE
1059,Barreiras,BA
679,Barreirinha,AM
898,Barreirinhas,MA
3006,Barreiros,PE
3879,Barretos,SP
2555,Barro,CE
1112,Barro Alto,BA
2265,Barro Duro,PI
1211,Barrocas,BA
2400,Barroquinha,CE
1532,Barros Cassal,RS
1526,Bar?o,RS
3888,Bar?o de Antonina,SP
3198,Bar?o de Cocais,MG
1530,Bar?o de Cotegipe,RS
1029,Bar?o de Graja?,MA
2028,Bar?o de Melga?o,MT
3478,Bar?o de Monte Alto,MG
1799,Bar?o do Triunfo,RS
1904,Bataguassu,MS
2203,Batalha,PI
1943,Bataypor?,MS
2466,Baturit?,CE
2851,Ba?a da Trai??o,PB
2476,Beberibe,CE
2401,Bela Cruz,CE
1906,Bela Vista,MS
2120,Bela Vista de Goi?s,GO
3502,Bela Vista de Minas,MG
918,Bela Vista do Maranh?o,MA
2389,Bela Vista do Piau?,PI
572,Bela Vista do Toldo,SC
3403,Belmiro Braga,MG
1341,Belo Campo,BA
2928,Belo Jardim,PE
3052,Belo Monte,AL
3706,Belo Oriente,MG
3507,Belo Vale,MG
702,Belterra,PA
717,Bel?m,PA
3007,Bel?m de Maria,PE
2699,Bel?m do Brejo do Cruz,PB
2372,Bel?m do Piau?,PI
2918,Bel?m do S?o Francisco,PE
2234,Beneditinos,PI
420,Benedito Novo,SC
718,Benevides,PA
663,Benjamin Constant,AM
1483,Benjamin Constant do Sul,RS
2645,Bento Fernandes,RN
1537,Bento Gon?alves,RS
876,Bequim?o,MA
3243,Berilo,MG
3442,Berizal,MG
2717,Bernardino Batista,PB
970,Bernardo do Mearim,MA
833,Bernardo Say?o,TO
2289,Bertol?nia,PI
3612,Bert?polis,MG
3199,Betim,MG
2905,Bet?nia,PE
2379,Bet?nia do Piau?,PI
2929,Bezerros,PE
3219,Bias Fortes,MG
3387,Bicas,MG
381,Bigua?u,SC
1202,Biritinga,BA
323,Bituruna,PR
413,Blumenau,SC
6,Boa Esperan?a,ES
2201,Boa Hora,PI
1342,Boa Nova,BA
2748,Boa Ventura,PB
291,Boa Ventura de S?o Roque,PR
2496,Boa Viagem,CE
684,Boa Vista,RR
